id_usuario,pagina,region,dispositivo,conversion,gasto,clics
99aa92e9-6dc3-4b18-8a31-fb1442e71d67,A,Norte,Desktop,0,0,0
99182f6f-325f-499a-815e-5ad414fe1600,B,Norte,Mobile,1,102.86,92
774a1f0c-eadb-4c1e-ae10-3058c9594162,B,Centro,Mobile,0,0,0
6bcc6b1b-56ee-4a7c-b478-01147c2d2cf9,B,Sur,Smart TV,0,0,0
b22abbb3-9919-4974-9288-41212563492c,A,Centro,Mobile,1,76.38,68
6a2b135a-9980-4915-8064-ae0bfb650ef2,A,Norte,Mobile,0,0,0
8930e88c-944d-4912-bf86-d81ae2400f51,A,Norte,Mobile,0,0,0
0e4d3c5f-5520-4328-897d-ef007bcdddea,B,Norte,Smart Speaker,0,0,0
5992c5a1-554c-4e03-9b25-b2dd107266ed,B,Norte,Mobile,1,66.89,60
a8dc9f30-89fa-46e6-8287-7d31b1acc2d8,B,Norte,Mobile,0,0,0
e6f62e4b-d2e3-4079-bc6f-837dda627d80,A,Sur,Desktop,0,0,0
79fae186-7903-4251-834e-b8551198d912,B,Centro,Mobile,0,0,0
6cf1d205-1195-4273-9ac0-9052289f6d38,B,Centro,Desktop,0,0,0
93776720-6e23-4669-99ed-f269532a6923,A,Norte,Desktop,0,0,0
af7f6298-f408-45c2-9f98-7c708214c712,A,Norte,Mobile,0,0,0
b6f1a95e-ab08-4a24-bd0f-ea5f7760ba1c,A,Centro,Desktop,0,0,0
d6b75b17-9343-4c8c-9c7d-1239f229a3c2,A,Sur,Mobile,0,0,0
f9f3d94a-5711-42eb-a9ee-9ac5550a3102,B,Centro,Desktop,0,0,0
eb5b7760-543b-4ba5-9e8a-7f57dcb6cb13,A,Sur,Desktop,0,0,0
d6ee3314-53e9-4926-90c0-382dd8671bb3,A,Sur,Mobile,1,68.02,61
a54103bb-a1f4-40d4-afad-92ab58571a5b,B,Norte,Mobile,0,0,0
c7be061a-b062-424f-8e0c-30768af0b530,A,Norte,Desktop,0,0,0
7ddada9a-3e6c-4640-8481-30af2677a147,A,Centro,Mobile,0,0,0
95140ec1-6763-4fbb-96b1-c9d6ccc2e93f,A,Centro,Desktop,1,48.39,48
fbe4bc69-3e83-41a4-8543-3631b3cc0889,A,Norte,Mobile,0,0,0
a6837336-3457-44e6-887a-4bd3ffe9b1b7,B,Centro,Desktop,1,56.18,56
4352323a-cdff-432f-b184-3c028c3c309f,A,Centro,Mobile,0,0,0
c586a60b-e26b-4606-b50d-d70da5d52aad,B,Sur,Desktop,1,94.32,94
e6168f32-ba3d-4715-9706-07b2f5dcb578,B,Norte,Mobile,0,0,0
68d22685-d7d8-42c7-b440-2fc34b6403e6,A,Norte,Mobile,1,65.73,59
a526bc4d-bf5b-4b95-bbd4-d7972b110c5d,B,Centro,Desktop,1,63.38,63
0b6a785d-0b55-4736-9da7-0762a3d058d1,A,Centro,Mobile,0,0,0
0eca455a-d27f-408c-8a4e-154da8f5c638,A,Centro,Desktop,0,0,0
f4489ed8-1690-4f4d-bce3-fe1eb39902d9,B,Sur,Desktop,0,0,0
bc8ad179-52f0-4655-a9db-ef8eee945616,B,Sur,Desktop,0,0,0
0cf419ae-7813-4aee-974b-ea19b8ba003d,B,Centro,Mobile,0,0,0
ffead469-69b1-4254-b262-0eac7a35579f,A,Norte,Mobile,0,0,0
a89af0ac-1c1d-42eb-b497-69a988685466,A,Centro,Mobile,0,0,0
0b3086ff-d7c9-4a3c-be6c-0b7f780996ca,B,Centro,Mobile,1,63.94,57
c1cb8b1b-c2ef-4b84-889d-cec9f6729fa8,A,Sur,Mobile,0,0,0
67777bac-aa4d-4fb8-8c85-bba8bd7a57b8,A,Sur,Desktop,0,0,0
10481ab6-07c4-48f6-837c-a3c3b366e0d7,A,Centro,Desktop,0,0,0
1971fa2b-7709-4a5f-afb1-ec27969d01f1,A,Centro,Mobile,1,78.24,70
7cf0b590-d236-4c23-a3ba-1d2b435304c2,B,Norte,Desktop,1,81.66,82
297a2c0f-3b29-4f2c-baa7-4a072dfdbdf7,A,Norte,Mobile,0,0,0
f1cde647-171a-483f-aee4-550c2fb68f81,B,Norte,Mobile,0,0,0
